job_title,company_name,location,job_type,experience_level,education_req,salary_range,job_requirements,job_responsibilities,posted_date,source_platform
IT Programmer,Izzy Group,Jakarta,Tidak ditemukan,3 tahun,S1,Rp. 1.000.000 - Rp. 5.000.000,"Python, SQL, Excel, Java, JavaScript",Mengembangkan sistem backend,6/13/2026,Glints
Data Engineer,Nodewave Indonesia,Jakarta,Tidak ditemukan,1 tahun,D1,Tidak disebutkan,"Python, SQL, Excel, Java, Linux",Mengembangkan sistem backend,6/13/2026,Glints
System Analyst,PT Adi Pragata Logistik,Jakarta,Tidak ditemukan,Tidak ditemukan,SMA,Tidak disebutkan,SQL,Tidak ditemukan,6/13/2026,Glints
IT Programmer,Regulus Group,Tidak ditemukan,Tidak ditemukan,1 tahun,S1,Rp. 4.000.000,"Python, SQL, Java, JavaScript, HTML",Mengembangkan sistem backend,6/13/2026,Glints
IT Infrastructure Solution,PT. Quad Sinergi Teknologi,Jakarta,Tidak ditemukan,5 tahun,S1,Tidak disebutkan,"Excel, Machine Learning",Membangun model machine learning,6/13/2026,Glints
Operator Data Entry,PT. BELANJA TEKNIK SEJAHTERA,Tidak ditemukan,Tidak ditemukan,3 tahun,SMA,Rp. 3.000.000,Excel,Mengembangkan dan mengelola API,6/13/2026,Glints
Software Developer,PT Panorama Sentrawisata Tbk,Jakarta,Tidak ditemukan,3 tahun,S1,Rp. 10.000.000,"Python, Java, JavaScript, PHP, Git",Mengembangkan aplikasi full stack,6/13/2026,Glints
Software Engineer,PT Teknologi Govirtual Indonesia,Jakarta,Tidak ditemukan,3 tahun,S1,Rp. 6.800.000,"SQL, Java, JavaScript, React, Laravel",Mengembangkan tampilan frontend,6/13/2026,Glints
IT Business Analyst,PT. Enigma Cipta Humanika (Enigma Camp),Jakarta,Tidak ditemukan,3 tahun,S1,Rp. 8.000.000,"SQL, Data Analysis",Melakukan pengujian sistem,6/13/2026,Glints
DATA ENGINEER,PT Pasti Makmur Abadi,Jakarta,Tidak ditemukan,3 tahun,S1,Rp. 6.000.000,"SQL, MySQL",Melakukan pengujian sistem,6/13/2026,Glints
System Analyst,Mobius Digital,Jakarta,Tidak ditemukan,5 tahun,S1,Rp. 10.000.000,Git,Mengembangkan dan mengelola API,6/13/2026,Glints
Software Developer,AFRA,Jakarta,Tidak ditemukan,5 tahun,D1,Rp. 7.500.000,"Python, SQL, Java, JavaScript, CSS",Mengembangkan aplikasi full stack,6/13/2026,Glints
IT Staff,PT Indonesian Tobacco Tbk.,Surabaya,Tidak ditemukan,3 tahun,D1,Tidak disebutkan,Tidak ditemukan,Mengelola database perusahaan,6/13/2026,Glints
Business Analyst,PT Sigma Global Teknologi,Jakarta,Tidak ditemukan,5 tahun,S1,Rp. 10.000.000,"SQL, React, Laravel, PHP, MySQL",Mengelola database perusahaan,6/13/2026,Glints
Software Engineer,BSG Group,Jakarta,Tidak ditemukan,3 tahun,S1,Tidak disebutkan,"Python, SQL, Excel, Java, JavaScript",Mengembangkan aplikasi full stack,6/13/2026,Glints
Automation Engineer,PT Sunrise Steel,Surabaya,Tidak ditemukan,5 tahun,D1,Tidak disebutkan,Tidak ditemukan,Menyusun laporan dan insight data,6/13/2026,Glints
Data Engineer,Bvarta,Jakarta,Tidak ditemukan,5 tahun,S1,Tidak disebutkan,"Python, SQL, Excel, Git, Docker",Menyusun laporan dan insight data,6/13/2026,Glints
System Analyst,Pt Itpreneur Indonesia Technology,Surabaya,Tidak ditemukan,5 tahun,S1,Rp. 4.800.000,"Excel, PHP",Melakukan pengujian sistem,6/13/2026,Glints
Software Engineer,PT. Meteor Inovasi Digital,Jakarta,Tidak ditemukan,5 tahun,S1,Rp. 7.000.000,"SQL, Excel, Java, PHP, Spring Boot",Mengembangkan sistem backend,6/13/2026,Glints
Chemical Engineer,PT. Era Daya Potensia,Jakarta,Tidak ditemukan,1 tahun,S1,Rp. 5.729.876,Tidak ditemukan,Tidak ditemukan,6/13/2026,Glints
IT INFRASTRUCTURE,PT Cartenz Technology Indonesia,Jakarta,Tidak ditemukan,3 tahun,D1,Tidak disebutkan,"Excel, Linux",Mengembangkan dan mengelola API,6/13/2026,Glints
Electrical Engineer,Enercon Power Indonesia,Jakarta,Tidak ditemukan,3 tahun,D1,Rp. 5.500.000,Tidak ditemukan,Menyusun laporan dan insight data,6/13/2026,Glints
IT Staff / IT Support,PT. DKV PRINTING INDONESIA,Semarang,Tidak ditemukan,3 tahun,D1,Rp. 3.700.000,"SQL, Linux, MySQL, PostgreSQL",Mengelola database perusahaan,6/13/2026,Glints
Data Analyst,PT Fan Integrasi Teknologi,Bandung,Tidak ditemukan,5 tahun,D1,Tidak disebutkan,"Python, SQL, Machine Learning, PyTorch, Git",Membangun model machine learning,6/13/2026,Glints
IT Programmer,Momiasi Indonesia Official,Bandung,Tidak ditemukan,3 tahun,S1,Rp. 4.000.000,"SQL, Java, JavaScript, HTML, CSS",Mengembangkan tampilan frontend,6/13/2026,Glints
Data Analis,PT Markaz Jalan Bersama,Tidak ditemukan,Tidak ditemukan,1 tahun,S1,Rp. 4.000.000,"Excel, Data Analysis",Menganalisis data perusahaan,6/13/2026,Glints
Software Engineer,PT Golden Tekstil Indonesia,Tidak ditemukan,Tidak ditemukan,3 tahun,S1,Rp. 3.200.000,"Python, SQL, Java, Laravel, PHP",Mengembangkan sistem backend,6/13/2026,Glints
Software Developer,PT Tigernix Solutions Indonesia,Tidak ditemukan,Tidak ditemukan,3 tahun,SMA,Tidak disebutkan,"Python, Java, PHP, Node.js",Menjamin kualitas perangkat lunak,6/13/2026,Glints
Cloud Engineer,PT Arupa Cloud Nusantara,Jakarta,Tidak ditemukan,5 tahun,S1,Rp. 8.000.000,"Git, Linux",Mengembangkan dan mengelola API,6/13/2026,Glints
C++ Software Engineer,Surya Narayana Indonesia,Bali,Tidak ditemukan,3 tahun,S1,Tidak disebutkan,Git,Mengembangkan aplikasi full stack,6/13/2026,Glints
System Analyst,ScaleOcean,Jakarta,Tidak ditemukan,3 tahun,S1,Tidak disebutkan,Excel,Melakukan pengujian sistem,6/13/2026,Glints
Automation Engineer,Indoserako Sejahterta,Jakarta,Tidak ditemukan,3 tahun,S1,Rp. 5.000.000,Tidak ditemukan,Menyusun laporan dan insight data,6/13/2026,Glints
Software Engineer,Aldmic COOPN Digital,Jakarta,Tidak ditemukan,5 tahun,S1,Rp. 7.000.000,"SQL, Java, JavaScript, React, Laravel",Mengembangkan sistem backend,6/13/2026,Glints
